No,HN1,HN2,L1,L2,L3,AVG
206,192,128,0.90368272,0.954674221,0.95184136,0.936732767
207,192,144,0.912181303,0.960339943,0.95184136,0.941454202
208,192,160,0.915014164,0.957507082,0.954674221,0.942398489
209,192,176,0.912181303,0.954674221,0.95184136,0.939565628
210,192,192,0.909348442,0.954674221,0.963172805,0.942398489
211,192,208,0.912181303,0.960339943,0.957507082,0.943342776
212,192,224,0.909348442,0.949008499,0.957507082,0.938621341
213,192,240,0.909348442,0.966005666,0.957507082,0.944287063
214,192,256,0.915014164,0.963172805,0.954674221,0.944287063
215,192,272,0.912181303,0.963172805,0.963172805,0.946175637
216,192,288,0.906515581,0.963172805,0.963172805,0.944287063
217,208,16,0.898016997,0.954674221,0.943342776,0.932011331
218,208,32,0.906515581,0.949008499,0.937677054,0.931067044
219,208,48,0.912181303,0.954674221,0.943342776,0.936732767
220,208,64,0.909348442,0.960339943,0.949008499,0.939565628
221,208,80,0.909348442,0.957507082,0.949008499,0.938621341
222,208,96,0.912181303,0.957507082,0.949008499,0.939565628
223,208,112,0.90368272,0.954674221,0.957507082,0.938621341
224,208,128,0.915014164,0.957507082,0.954674221,0.942398489
225,208,144,0.915014164,0.960339943,0.946175637,0.940509915
226,208,160,0.906515581,0.957507082,0.960339943,0.941454202
227,208,176,0.90368272,0.940509915,0.957507082,0.933899906
228,208,192,0.912181303,0.968838527,0.957507082,0.946175637
229,208,208,0.909348442,0.957507082,0.954674221,0.940509915
230,208,224,0.917847025,0.940509915,0.957507082,0.938621341
231,208,240,0.909348442,0.963172805,0.954674221,0.942398489
232,208,256,0.912181303,0.963172805,0.954674221,0.943342776
233,208,272,0.912181303,0.954674221,0.957507082,0.941454202
234,208,288,0.912181303,0.957507082,0.957507082,0.942398489
235,224,16,0.889518414,0.949008499,0.946175637,0.928234183
236,224,32,0.912181303,0.954674221,0.940509915,0.93578848
237,224,48,0.900849858,0.957507082,0.940509915,0.932955619
238,224,64,0.90368272,0.95184136,0.95184136,0.93578848
239,224,80,0.906515581,0.954674221,0.95184136,0.937677054
240,224,96,0.909348442,0.960339943,0.954674221,0.941454202
241,224,112,0.909348442,0.949008499,0.957507082,0.938621341
242,224,128,0.909348442,0.957507082,0.95184136,0.939565628
243,224,144,0.906515581,0.95184136,0.957507082,0.938621341
244,224,160,0.912181303,0.966005666,0.960339943,0.946175637
245,224,176,0.909348442,0.966005666,0.957507082,0.944287063
246,224,192,0.912181303,0.957507082,0.957507082,0.942398489
247,224,208,0.906515581,0.966005666,0.957507082,0.943342776
248,224,224,0.906515581,0.954674221,0.957507082,0.939565628
