Time,Label,MQ2_1,MQ4_1,MQ6_1,MQ9_1,MQ135_1,MQ136_1,MQ137_1,MQ138_1
31280,4,0.514303725,0.151145577,1.023887088,0.180507429,0.176285808,0.138977021,0.153311702,0.291969278
31281,4,0.514303725,0.151145577,1.023887088,0.180362114,0.176119334,0.138977021,0.153311702,0.292559046
31282,4,0.514303725,0.151145577,1.023887088,0.180362114,0.176119334,0.138824532,0.153149073,0.291969278
31283,4,0.514303725,0.151145577,1.025332042,0.180362114,0.176119334,0.138824532,0.153311702,0.291969278
31284,4,0.514303725,0.150990368,1.023887088,0.180217108,0.176119334,0.138824532,0.153149073,0.291969278
31285,4,0.514303725,0.150990368,1.025332042,0.180362114,0.176119334,0.138824532,0.153311702,0.291969278
31286,4,0.514303725,0.150990368,1.025332042,0.180217108,0.176119334,0.138824532,0.153149073,0.291969278
31287,4,0.514303725,0.151145577,1.025332042,0.180217108,0.175953091,0.138824532,0.153149073,0.291969278
31288,4,0.514303725,0.150990368,1.025332042,0.180362114,0.176119334,0.138824532,0.153149073,0.292264551
31289,4,0.514303725,0.150990368,1.025332042,0.180217108,0.175953091,0.138672262,0.153149073,0.292264551
31290,4,0.514303725,0.150835377,1.023887088,0.179927251,0.1756213,0.138520254,0.152986701,0.291381068
31291,4,0.514303725,0.150680604,1.023887088,0.179927251,0.1756213,0.138520254,0.152824588,0.291381068
31292,4,0.514303725,0.150835377,1.023887088,0.179927251,0.17578708,0.138672262,0.152986701,0.291969278
31293,4,0.514303725,0.150526102,1.022445729,0.179782554,0.175455674,0.138368465,0.152824588,0.291381068
31294,4,0.514303725,0.150680604,1.023887088,0.179927251,0.175455674,0.138520254,0.152824588,0.291969278
31295,4,0.514303725,0.150526102,1.023887088,0.179637856,0.175455674,0.138520254,0.152824588,0.291381068
31296,4,0.510983749,0.150526102,1.023887088,0.179637856,0.175290279,0.138368465,0.152662732,0.291381068
31297,4,0.514303725,0.150526102,1.023887088,0.179782554,0.175455674,0.138520254,0.152824588,0.291381068
31298,4,0.514303725,0.150526102,1.023887088,0.179637856,0.175290279,0.138520254,0.152824588,0.291381068
31299,4,0.514303725,0.150680604,1.025332042,0.180072103,0.1756213,0.138672262,0.152986701,0.291969278
31300,4,0.514303725,0.150680604,1.025332042,0.179927251,0.175455674,0.138672262,0.152986701,0.291675563
31301,4,0.514303725,0.150371764,1.025332042,0.179637856,0.175290279,0.138368465,0.152662732,0.291086574
31302,4,0.514303725,0.150371764,1.025332042,0.179493468,0.175125116,0.138368465,0.152662732,0.291381068
